case_id,path,slice_count,repeat_index,geometry_seed,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_101,liver_101.nii.gz,64,6,389119275,0.6516757011413574,0.0006621100474148989,0.007992519997060299,41.946327209472656,0.9114352464675903,4.431191524822964e-10,1.000008069240721e-06,119.99993133544922,0.91694575548172,0.0019008428789675236,0.013542281463742256,37.36616516113281,0.9011261463165283
liver_101,liver_101.nii.gz,64,7,461450415,0.6657862663269043,0.0007116291671991348,0.008177190087735653,41.74791717529297,0.9111068248748779,3.980953622306771e-10,1.0000071597460192e-06,119.99993133544922,0.9165045022964478,0.0021292627789080143,0.01414464134722948,36.9881591796875,0.9003546237945557
liver_101,liver_101.nii.gz,128,0,2206918523,0.8709349632263184,0.00017612602096050978,0.004017404746264219,47.92108917236328,0.9153424501419067,6.229528004553231e-10,1.000010456664313e-06,119.99991607666016,0.9171645641326904,0.001364625757560134,0.011182560585439205,39.0291748046875,0.9030474424362183
liver_101,liver_101.nii.gz,128,1,2578796901,0.8688111305236816,0.0002151285152649507,0.004571998491883278,46.797874450683594,0.9149298667907715,6.22396356675381e-10,1.0000103429774754e-06,119.99991607666016,0.9168715476989746,0.0016398340230807662,0.012622854672372341,37.97684860229492,0.9020722508430481
liver_101,liver_101.nii.gz,128,2,3761708584,0.8735666275024414,0.00013251649215817451,0.0033117097336798906,49.59895706176758,0.9155585169792175,6.341992486724735e-10,1.0000105703511508e-06,119.99990844726562,0.9174405932426453,0.0010481089120730758,0.009313681162893772,40.61756896972656,0.9025561213493347
liver_101,liver_101.nii.gz,128,3,4063889420,0.8756365776062012,0.0001027574617182836,0.002982410369440913,50.50865173339844,0.9158020615577698,6.4848559855335e-10,1.0000106840379885e-06,119.99990844726562,0.9177097678184509,0.0008262629853561521,0.008457091636955738,41.4555778503418,0.9023709297180176
liver_101,liver_101.nii.gz,128,4,3250103725,0.8672056198120117,0.0001253020018339157,0.003444180591031909,49.258277893066406,0.9156676530838013,6.663349316760048e-10,1.0000111387853394e-06,119.99990844726562,0.9176856279373169,0.0009435747051611543,0.009451397694647312,40.49007797241211,0.9024898409843445
liver_101,liver_101.nii.gz,128,5,4292994722,0.8727498054504395,0.00017276439757551998,0.003988602664321661,47.983585357666016,0.9152926206588745,6.265750140954651e-10,1.000010456664313e-06,119.99991607666016,0.9170953035354614,0.0013576704077422619,0.011181280948221684,39.03017044067383,0.9029297828674316
liver_101,liver_101.nii.gz,128,6,143076970,0.8834013938903809,0.00014623651804868132,0.003878565737977624,48.22657775878906,0.9154465794563293,6.462737567325405e-10,1.000010911411664e-06,119.99990844726562,0.917154848575592,0.0012541826581582427,0.011358591727912426,38.89351272583008,0.9025041460990906
liver_101,liver_101.nii.gz,128,7,2534708005,0.8746905326843262,0.0001187365414807573,0.003475586883723736,49.17943572998047,0.9156755208969116,6.574810140769216e-10,1.000010911411664e-06,119.99990844726562,0.9176039695739746,0.0009475417900830507,0.009818297810852528,40.159278869628906,0.9022149443626404
